user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,59681,336221,235616,234698
200001,272143,64329,199198,324823,166581
200002,202701,208596,205982,124228,215861
200003,50494,158772,235105,277107,74665
200004,218028,202355,289003,157478,57966
200005,69932,234698,156964,336221,300082
200006,336245,96210,20691,288440,183176
200007,157478,336254,97530,289003,218028
200008,277107,352979,283009,289003,30389
200009,199198,64329,198659,156560,162655
200010,162655,64329,158536,272143,156560
200011,272143,50823,162655,107301,156560
200012,233688,119534,111043,181585,128260
200013,336245,20691,284583,271262,337441
200014,156560,162765,272143,160417,158536
200015,336221,64409,156964,214631,300082
200016,20691,288440,336245,57616,337441
200017,71161,107073,70731,70484,70649
200018,96210,288440,284583,57616,271262
200019,177155,352555,261612,121834,272143
200020,289090,234269,336220,32082,234267
200021,199198,156560,64329,182513,299697
200022,156964,235616,64409,235870,5252
200023,156519,162636,284096,70591,277492
200024,36162,50644,224730,158331,161526
200025,293301,156654,257291,233717,285719
200026,286336,272143,282785,162655,283041
200027,168623,123909,276970,157227,237524
200028,182513,64329,348111,272143,199198
200029,36162,277107,206415,234308,235105
200030,133160,288320,31836,141004,214206
200031,272218,129434,108856,158047,97082
200032,156560,162765,272143,160417,158536
200033,96127,96210,20691,57616,271262
200034,87179,161801,87228,87236,235525
200035,271262,313920,96210,225010,283764
200036,234698,95716,315105,235870,336223
200037,336223,277491,119193,31836,288743
200038,272143,236065,156560,156624,199198
200039,224486,225055,64329,162655,160417
200040,107039,272143,156560,50823,156624
200041,331116,336254,289003,207981,202355
200042,87228,161801,235652,141004,63307
200043,124749,293050,224763,338340,208473
200044,183176,277492,336220,348087,284096
200045,245161,96210,293513,70215,58619
200046,353012,123909,168623,353085,351282
200047,96210,288440,336245,337441,183176
200048,199198,272143,64329,182513,156560
200049,57748,107177,156296,107203,50504
200050,348112,183176,285533,159529,348109
200051,199198,64329,198659,156560,162655
200052,58580,236566,96210,283764,277067
200053,235854,277492,288435,119534,336220
200054,250043,96210,57616,71161,20691
200055,159938,111043,181585,284339,119534
200056,50405,39894,202320,277107,159019
200057,156560,96152,272143,166572,199197
